,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
97,14.0,11.0,,BRA,p,,0.028999999999999998,total,-0.99,0.087,0.057999999999999996,0.0,0.0,-2.482467432955829,-2.674054756628494,2001.0,2000.0
98,10.0,7.0,,BRA,p,,0.023,total,-0.99,0.067,0.046,0.0,0.0,-2.482467432955829,-2.674054756628494,2001.0,2000.0
99,84.0,80.0,,BGR,p,,,female,0.032,,0.048,0.0,0.0,,-4.250428027039955,2003.0,2003.0
100,79.0,75.0,,BGR,p,,,female,0.024,,0.068,0.0,0.0,,-4.250428027039955,2003.0,2003.0
101,74.0,70.0,,BGR,p,,,female,0.016,,0.067,0.0,0.0,,-4.250428027039955,2003.0,2003.0
102,69.0,65.0,,BGR,p,,,female,0.019,,0.055,0.0,0.0,,-4.250428027039955,2003.0,2003.0
103,64.0,60.0,,BGR,p,,,female,0.015,,0.049,0.0,0.0,,-4.250428027039955,2003.0,2003.0
104,59.0,55.0,,BGR,p,,,female,0.019,,0.068,0.0,0.0,,-4.250428027039955,2003.0,2003.0
105,54.0,50.0,,BGR,p,,,female,0.02,,0.066,0.0,0.0,,-4.250428027039955,2003.0,2003.0
106,49.0,45.0,,BGR,p,,,female,0.012,,0.047,0.0,0.0,,-4.250428027039955,2003.0,2003.0
107,44.0,40.0,,BGR,p,,,female,0.016,,0.075,0.0,0.0,,-4.250428027039955,2003.0,2003.0
108,39.0,35.0,,BGR,p,,,female,0.013000000000000001,,0.027999999999999997,0.0,0.0,,-4.250428027039955,2003.0,2003.0
109,34.0,30.0,,BGR,p,,,female,0.023,,0.048,0.0,0.0,,-4.250428027039955,2003.0,2003.0
110,29.0,25.0,,BGR,p,,,female,0.009000000000000001,,0.039,0.0,0.0,,-4.250428027039955,2003.0,2003.0
111,24.0,20.0,,BGR,p,,,female,0.02,,0.047,0.0,0.0,,-4.250428027039955,2003.0,2003.0
112,18.0,18.0,,BGR,p,,,female,0.07200000000000001,,0.063,0.0,0.0,,-4.250428027039955,2003.0,2003.0
113,84.0,80.0,,BGR,p,,,female,0.037000000000000005,,0.076,0.0,1.0,,-4.250428027039955,2003.0,2003.0
114,79.0,75.0,,BGR,p,,,female,0.026000000000000002,,0.08199999999999999,0.0,1.0,,-4.250428027039955,2003.0,2003.0
115,74.0,70.0,,BGR,p,,,female,0.017,,0.078,0.0,1.0,,-4.250428027039955,2003.0,2003.0
116,69.0,65.0,,BGR,p,,,female,0.021,,0.08199999999999999,0.0,1.0,,-4.250428027039955,2003.0,2003.0
117,64.0,60.0,,BGR,p,,,female,0.015,,0.071,0.0,1.0,,-4.250428027039955,2003.0,2003.0
118,59.0,55.0,,BGR,p,,,female,0.026000000000000002,,0.114,0.0,1.0,,-4.250428027039955,2003.0,2003.0
119,54.0,50.0,,BGR,p,,,female,0.025,,0.106,0.0,1.0,,-4.250428027039955,2003.0,2003.0
120,49.0,45.0,,BGR,p,,,female,0.013999999999999999,,0.07,0.0,1.0,,-4.250428027039955,2003.0,2003.0
121,44.0,40.0,,BGR,p,,,female,0.018000000000000002,,0.09699999999999999,0.0,1.0,,-4.250428027039955,2003.0,2003.0
122,39.0,35.0,,BGR,p,,,female,0.016,,0.052000000000000005,0.0,1.0,,-4.250428027039955,2003.0,2003.0
123,34.0,30.0,,BGR,p,,,female,0.03,,0.068,0.0,1.0,,-4.250428027039955,2003.0,2003.0
124,29.0,25.0,,BGR,p,,,female,0.016,,0.053,0.0,1.0,,-4.250428027039955,2003.0,2003.0
125,24.0,20.0,,BGR,p,,,female,0.022000000000000002,,0.059000000000000004,0.0,1.0,,-4.250428027039955,2003.0,2003.0
126,18.0,18.0,,BGR,p,,,female,0.07200000000000001,,0.063,0.0,1.0,,-4.250428027039955,2003.0,2003.0
127,84.0,80.0,,BGR,p,,,male,0.044000000000000004,,0.102,0.0,1.0,,-4.250428027039955,2003.0,2003.0
128,79.0,75.0,,BGR,p,,,male,0.027000000000000003,,0.051,0.0,1.0,,-4.250428027039955,2003.0,2003.0
129,74.0,70.0,,BGR,p,,,male,0.008,,0.018000000000000002,0.0,1.0,,-4.250428027039955,2003.0,2003.0
130,69.0,65.0,,BGR,p,,,male,0.006999999999999999,,0.01,0.0,1.0,,-4.250428027039955,2003.0,2003.0
131,64.0,60.0,,BGR,p,,,male,0.017,,0.038,0.0,1.0,,-4.250428027039955,2003.0,2003.0
