,area,pop,sex,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year
154,MDV,159.29406649999999,male,0.0,0.0,,-2.0654667093863353,2010.0
155,MDV,156.65456449999996,female,0.0,0.0,,-2.0654667093863353,2010.0
156,MMR,19516.081630599987,male,0.0,0.0,-1.7010972825713986,-1.5403440617157935,1990.0
157,MMR,19773.146099799997,female,0.0,0.0,-1.7010972825713986,-1.5403440617157935,1990.0
158,MMR,22927.181100200007,male,0.0,0.0,-1.8524611103385484,-1.9753356241834836,2005.0
159,MMR,23476.094102799998,female,0.0,0.0,-1.8524611103385484,-1.9753356241834836,2005.0
160,MMR,23666.90323080001,male,0.0,0.0,-1.9615802122762553,-2.037330813839853,2010.0
161,MMR,24350.326757900002,female,0.0,0.0,-1.9615802122762553,-2.037330813839853,2010.0
162,MUS,530.0158798999998,male,0.0,0.0,-2.0391180001910563,-2.170876780319324,1990.0
163,MUS,532.0751095,female,0.0,0.0,-2.0391180001910563,-2.170876780319324,1990.0
164,MUS,621.6299294000004,male,0.0,0.0,,-4.250428027039955,2005.0
165,MUS,633.8670013000002,female,0.0,0.0,,-4.250428027039955,2005.0
166,MUS,642.4066859000001,male,0.0,0.0,,-4.250428027039955,2010.0
167,MUS,658.1380559,female,0.0,0.0,,-4.250428027039955,2010.0
168,MYS,9217.948853399997,male,0.0,0.0,,-2.252364704213381,1990.0
169,MYS,8946.266766999997,female,0.0,0.0,,-2.252364704213381,1990.0
170,MYS,13205.008425000002,male,0.0,0.0,-2.4874059452084163,-2.4624880845151167,2005.0
171,MYS,12776.539474399993,female,0.0,0.0,-2.4874059452084163,-2.4624880845151167,2005.0
172,MYS,14419.285397599993,male,0.0,0.0,,-2.602321494633807,2010.0
173,MYS,14003.186482799993,female,0.0,0.0,,-2.602321494633807,2010.0
174,PHL,31106.33174090001,male,0.0,0.0,-1.6899620383840406,-1.6013571493578056,1990.0
175,PHL,30446.26395190002,female,0.0,0.0,-1.6899620383840406,-1.6013571493578056,1990.0
176,PHL,42973.291511699994,male,0.0,0.0,-1.923220239715564,-1.9522927238803798,2005.0
177,PHL,42475.81548889997,female,0.0,0.0,-1.923220239715564,-1.9522927238803798,2005.0
178,PHL,46855.76250189999,male,0.0,0.0,-1.9963070755046286,-1.9746222730581895,2010.0
179,PHL,46534.9276172,female,0.0,0.0,-1.9963070755046286,-1.9746222730581895,2010.0
180,SYC,31.633379600000012,male,0.0,0.0,,-1.5531395901562417,1990.0
181,SYC,32.119176700000025,female,0.0,0.0,,-1.5531395901562417,1990.0
182,SYC,36.78525240000001,male,0.0,0.0,,-4.250428027039955,2005.0
183,SYC,37.22308720000002,female,0.0,0.0,,-4.250428027039955,2005.0
184,SYC,38.631179300000014,male,0.0,0.0,,-4.250428027039955,2010.0
185,SYC,38.957440800000015,female,0.0,0.0,,-4.250428027039955,2010.0
186,THA,28363.23611390001,male,0.0,0.0,-4.029621537411595,-2.093950985714937,1990.0
187,THA,28748.130240500006,female,0.0,0.0,-4.029621537411595,-2.093950985714937,1990.0
